q,f_mean,f_std,tau_mean,tau_std
0.0,0.24123379192187241,0.09676801345794052,0.0,0.0
0.1,1.0,0.0,28.6,15.05323885414697
0.2,1.0,0.0,13.26,5.487476651430965
0.30000000000000004,1.0,0.0,8.78,3.981406786551708
0.4,1.0,0.0,6.74,3.345504446268156
0.5,1.0,0.0,5.52,2.2292599668948436
0.6000000000000001,1.0,0.0,4.3,1.835755975068582
0.7000000000000001,1.0,0.0,3.56,1.4987995196156154
0.8,1.0,0.0,3.0,1.131370849898476
0.9,1.0,0.0,2.58,0.7769169839822013
1.0,1.0,0.0,2.0,0.0
